title,year,rated,released,runtime,genres,director,actors,plot,languages,country,awards,imdbRating,rottenTomatoesRating,metaCriticRating,metascore,rating,type,boxoffice,production
The Devil's Rejects,2005,R,Fri Jul 22 2005 00:00:00 GMT-0400 (EDT),107 min,Crime; Horror,Rob Zombie,Sid Haig; Bill Moseley; Sheri Moon Zombie; William Forsythe,In Ruggsville Texas the police under the command of Sheriff John Quincy Wydell attack the house of the sadistic serial killers Firefly family (aka The Devils Reject) and they arrest mother Firefly but Otis B Driftwood and Baby Firefly escape from the siege Tiny is wandering nearby the house and also escapes Otis and Baby call their patriarch the mad clown Captain Spaulding and they schedule to reunite at an isolated motel in the desert When Otis and Baby arrive they kidnap two families of singers using sadism and violence against the harmless persons Meanwhile Sheriff Wydell promises to capture and kill the runaways seeking revenge for the death of his brother the Deputy George Wydell,English; Spanish,USA; Germany,10 wins & 5 nominations,6.9/10,53%,53/100,53,6.9,movie,"$16,901,126",Lions Gate Films
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,PG,Fri Dec 09 2005 00:00:00 GMT-0500 (EST),143 min,Adventure; Family; Fantasy,Andrew Adamson,Georgie Henley; Skandar Keynes; William Moseley; Anna Popplewell,Four children from the same family have to leave their town because of the bombings of WWII A women and a professor take the children to their house While playing a game of hide-and-seek the youngest member of the family Lucy finds a wardrobe to hide in She travels back and back into the wardrobe and finds a place named Narnia After going in twice the four children go in together for the last time They battle wolves meet talking animals encounter an evil white witch and meet a magnificent lion named Aslan Will this be the end of their journey to Narnia or will they stay?,English; German,USA; UK,Won 1 Oscar Another 14 wins & 46 nominations,6.9/10,76%,75/100,75,6.9,movie,"$291,685,219",Buena Vista
Elektra,2005,PG-13,Fri Jan 14 2005 00:00:00 GMT-0500 (EST),97 min,Action; Adventure; Crime,Rob Bowman,Jennifer Garner; Goran Visnjic; Kirsten Zien; Will Yun Lee,In the ultimate battle between good and evil stands a warrior who makes the choice that tips the balance A strong mysterious and a deadly sexy action heroine - a lethal synthesis of grace and power Not long after recovering from seemingly mortal wounds Elektra has severed all ties with the world living only for her next assignment But in an unexpected turn of events she is forced to make a decision that can take her life in a new direction - or destroy her Key players in Elektras journey are Stick a blind martial arts master responsible for Elektras resurrection and Mark Miller and Abby Miller a father and daughter on the run from The Hand a powerful syndicate whose members practice the dark version of the martial art Kimagure,English; Japanese,Canada; USA,2 nominations,4.7/10,10%,34/100,34,4.7,movie,"$24,100,000",20th Century Fox
The Derby Stallion,2005,PG,Mon Jul 04 2005 00:00:00 GMT-0400 (EDT),99 min,Drama,Craig Clyde,Charles Black; Sarah Blackman; Preston Wigasi Brant; K.C. Clyde,Fifteen-year-old Patrick doesnt know what he wants to do with his life and the pressure put on him by his dad isnt helping But then he meets a misunderstood horse trainer who convinces him to train for the Derby Cup Can Patrick convince his parents to let him compete beat out out the rich town bully -- and find the champion that lies within?,English,USA,N/A,5.7/10,N/A,N/A,N/A,5.7,movie,N/A,Tonja Walker Productions
The Family Stone,2005,PG-13,Fri Dec 16 2005 00:00:00 GMT-0500 (EST),103 min,Comedy; Drama; Romance,Thomas Bezucha,Claire Danes; Diane Keaton; Rachel McAdams; Dermot Mulroney,The Stone family unites in common cause when their favorite son brings his uptight girlfriend home for the Christmas holiday with plans of proposing Overwhelmed by the hostile reception she begs her sister to join her for emotional support triggering further complications,English; American Sign Language,USA,Nominated for 1 Golden Globe Another 4 wins & 7 nominations,6.3/10,52%,56/100,56,6.3,movie,"$59,856,288",20th Century Fox Distribution
Bewitched,2005,PG-13,Fri Jun 24 2005 00:00:00 GMT-0400 (EDT),102 min,Comedy; Fantasy; Romance,Nora Ephron,Nicole Kidman; Will Ferrell; Shirley MacLaine; Michael Caine,Out in Californias San Fernando Valley Isabel is trying to reinvent herself A naïve good-natured witch she is determined to disavow her supernatural powers and lead a normal life At the same time across town Jack Wyatt a tall charming actor is trying to get his career back on track He sets his sights on an updated version of the beloved 1960s situation comedy Bewitched re-conceived as a starring vehicle for himself in the role of the mere-mortal Darrin Fate steps in when Jack accidentally runs into Isabel He is immediately attracted to her and her nose which bears an uncanny resemblance to the nose of Elizabeth Montgomery who played Samantha in the original TV version of Bewitched He becomes convinced she could play the witch Samantha in his new series Isabel is also taken with Jack seeing him as the quintessential mortal man with whom she can settle down and lead the normal life she so desires It turns out theyre both right--but in ways neither of them ever imagined,English; Spanish,USA,2 wins & 13 nominations,4.8/10,25%,34/100,34,4.8,movie,"$62,252,415",Columbia Pictures
Fever Pitch,2005,PG-13,Fri Apr 08 2005 00:00:00 GMT-0400 (EDT),104 min,Comedy; Drama; Romance,Bobby Farrelly; Peter Farrelly,Drew Barrymore; Jimmy Fallon; Jason Spevack; Jack Kehler,When relaxed and charming Ben Wrightman meets workaholic Lindsey Meeks she finds him sweet and charming they hit it off and when it is winter Ben can spend every waking hour with Lindsey but when summer comes around the corner Lindsey discovers Bens obsession with the Boston Red Sox She thinks it is perfect until everything goes downhill for them,English,USA; Germany,9 nominations,6.2/10,65%,56/100,56,6.2,movie,"$41,966,965",20th Century Fox
Dark Water,2005,PG-13,Fri Jul 08 2005 00:00:00 GMT-0400 (EDT),105 min,Drama; Horror; Thriller,Walter Salles,Jennifer Connelly; John C. Reilly; Tim Roth; Dougray Scott,Dahlia Williams and her daughter Cecelia move into a rundown apartment on New Yorks Roosevelt Island She is currently in the midst of divorce proceedings and the apartment though near an excellent school for her daughter is all she can afford From the time she arrives there are mysterious occurrences and there is a constant drip from the ceiling in the only bedroom There are also noises coming from the apartment directly above hers though it would appear to be vacant Is the apartment haunted or is there a simpler explanation?,English,USA,5 nominations,5.6/10,46%,52/100,52,5.6,movie,"$25,416,400",Buena Vista
Cry Wolf,2005,PG-13,Fri Sep 16 2005 00:00:00 GMT-0400 (EDT),90 min,Drama; Horror; Mystery,Jeff Wadlow,Erica Yates; Julian Morris; Lindy Booth; Jane Beard,Nobody believes a liar - even when theyre telling the truth When a young woman is found murdered a group of local high school students decide to further scare their classmates by spreading online rumors that a serial killer called The Wolf is on the loose By describing The Wolfs next victims the students game is to see how many people they can convince - and if anyone will uncover the lie But when the described victims actually do start turning up dead suddenly no one knows where the lies end and the truth begins As someone or something begins hunting the students themselves the game turns terrifyingly real,English,USA,N/A,5.9/10,22%,39/100,39,5.9,movie,"$10,003,763",Rogue Pictures
The Exorcism of Emily Rose,2005,PG-13,Fri Sep 09 2005 00:00:00 GMT-0400 (EDT),119 min,Drama; Horror; Thriller,Scott Derrickson,Laura Linney; Tom Wilkinson; Campbell Scott; Jennifer Carpenter,When a younger girl called Emily Rose dies everyone puts blame on the exorcism which was performed on her by Father Moore prior to her death The priest is arrested on suspicion of murder The trail begins with lawyer Erin Bruner representing Moore but it is not going to be easy as no one wants to believe what Father Moore says is true,English; Syriac; German; Greek; Hebrew; Latin; Aramaic,USA,4 wins & 9 nominations,6.7/10,20%,46/100,46,6.7,movie,N/A,Dimension Films
The Crow: Wicked Prayer,2005,R,Wed Sep 14 2005 00:00:00 GMT-0400 (EDT),99 min,Action; Adventure; Comedy,Lance Mungia,Yuji Okumoto; Marcus Chong; Tito Ortiz; Tara Reid,Jimmy Cuervo is a down-on-his-luck ex-con living in a polluted mining town on a reservation that would run him out of town if not for the remainder of his probation With his time nearly finished he plans to start a new life with his girlfriend Lily  and leave the town for good But Luc Crash and Lola Byrne head up a local gang of local Satanists who murder Jimmy and Lily in a brutally ritualistic slaying that they hope will conjure the rebirth of the Antichrist When the legend of the Crow returns Jimmy from the dead Jimmy heads out on a one-man path of vengeance that will lead him to El Nino the leader of the gang that Luc and Lola are in,English,USA,1 nomination,3.0/10,0%,N/A,N/A,3,movie,N/A,Miramax
Domino,2005,R,Fri Oct 14 2005 00:00:00 GMT-0400 (EDT),127 min,Action; Biography; Crime,Tony Scott,Keira Knightley; Mickey Rourke; Edgar Ramírez; Delroy Lindo,The daughter of an actor father and a social-climber mother Domino Harvey bored with her life decides to join the team of Ed Moseby and becomes a bounty hunter But she gets in trouble when the Mafias money is stolen from an armored truck while Moseby and his crew are participating in a reality show produced by Mark Heiss The situation gets out of control when the sons of a rival mobster are kidnapped while the FBI is monitoring two gangs of mobsters,English,France; USA; UK,2 wins,6.0/10,N/A,36/100,36,6,movie,N/A,Maverick Entertainment
Forty Shades of Blue,2005,R,Wed Dec 07 2005 00:00:00 GMT-0500 (EST),108 min,Drama; Music; Romance,Ira Sachs,Dina Korzun; Rip Torn; Darren E. Burrows; Andrew Lawrence Henderson,Wealthy music producer Alan James lives with his beautiful Russian girlfriend Laura thirty years younger than him whom he met while he was in Russia on business They have a three-year-old son Alan is a music legend having produced black music during the 60s and 70s the golden era of Memphis Soul They live an affluent life in a sprawling mansion on the banks of the Mississippi in Memphis Tennessee But although she is comfortable Laura feels lonely and isolated Alan has an estranged adult son from a previous marriage Michael a literature professor who is married and lives with his wife in Los Angeles Michael and his father have a complicated relationship that is marred by disappointment hampered by jealousy and fueled by anger When Michael returns home to Memphis for the first time in many years although he had at first disapproved of his fathers young girlfriend a painful and dangerous love affair develops between him and Laura his contemporary As this forbidden passion deepens in the bedrooms and bars of modern Memphis Laura comes to an illuminating self-confrontation that will change her soul and her life forever,English,USA,1 win & 2 nominations,6.0/10,59%,74/100,74,6,movie,N/A,First Look Media
