The 40-Year-Old Virgin,"""The 40-Year-Old Virgin"","
My Cousin Rachel,"""My Cousin Rachel"","
Megan Leavey,"""Megan Leavey"","
Beatriz at Dinner,"""Beatriz at Dinner"","
Cars 3,"""Cars 3"","
Rough Night,"""Rough Night"","
All Eyez on Me,"""All Eyez on Me"","
47 Meters Down,"""47 Meters Down"","
The Book of Henry,"""The Book of Henry"","
Transformers: The Last Knight,"""Transformers: The Last Knight"","
The Beguiled,"""The Beguiled"","
The Big Sick,"""The Big Sick"","
The Bad Batch,"""The Bad Batch"","
Baby Driver,"""Baby Driver"","
Okja,"""Okja"","
Despicable Me 3,"""Despicable Me 3"","
The House,"""The House"","
The Little Hours,"""The Little Hours"","
Inconceivable,"""Inconceivable"","
0.098611111,"""0.098611111"","
A Ghost Story,"""A Ghost Story"","
Spider-Man: Homecoming,"""Spider-Man: Homecoming"","
War for the Planet of the Apes,"""War for the Planet of the Apes"","
Wish Upon,"""Wish Upon"","
Valerian and the City of a Thousand Planets,"""Valerian and the City of a Thousand Planets"","
Girls Trip,"""Girls Trip"","
First Kill,"""First Kill"","
The Emoji Movie,"""The Emoji Movie"","
An Inconvenient Sequel: Truth to Power,"""An Inconvenient Sequel: Truth to Power"","
Detroit,"""Detroit"","
Brigsby Bear,"""Brigsby Bear"","
Menashe,"""Menashe"","
The Dark Tower,"""The Dark Tower"","
Kidnap,"""Kidnap"","
Step,"""Step"","
Wind River,"""Wind River"","
Armed Response,"""Armed Response"","
Annabelle: Creation,"""Annabelle: Creation"","
The Glass Castle,"""The Glass Castle"","
The Nut Job 2: Nutty by Nature,"""The Nut Job 2: Nutty by Nature"","
Good Time,"""Good Time"","
Ingrid Goes West,"""Ingrid Goes West"","
The Only Living Boy in New York,"""The Only Living Boy in New York"","
The Hitman's Bodyguard,"""The Hitman's Bodyguard"","
Logan Lucky,"""Logan Lucky"","
Patti Cake$,"""Patti Cake$"","
All Saints,"""All Saints"","
Served Like A Girl,"""Served Like A Girl"","
Beach Rats,"""Beach Rats"","
Tulip Fever,"""Tulip Fever"","
Unlocked,"""Unlocked"","
It,"""It"","
Home Again,"""Home Again"","
43354,"""43354"","
The Good Catholic,"""The Good Catholic"","
Gun Shy,"""Gun Shy"","
American Assassin,"""American Assassin"","
Mother!,"""Mother!"","
Brad's Status,"""Brad's Status"","
Kingsman: The Golden Circle,"""Kingsman: The Golden Circle"","
The Lego Ninjago Movie,"""The Lego Ninjago Movie"","
Stronger,"""Stronger"","
Battle of the Sexes,"""Battle of the Sexes"","
Woodshock,"""Woodshock"","
Victoria & Abdul,"""Victoria & Abdul"","
Jeepers Creepers 3,"""Jeepers Creepers 3"","
American Made,"""American Made"","
Flatliners,"""Flatliners"","
Mark Felt: The Man Who Brought Down the White House,"""Mark Felt: The Man Who Brought Down the White House"","
Blade Runner 2049,"""Blade Runner 2049"","
The Mountain Between Us,"""The Mountain Between Us"","
My Little Pony: The Movie,"""My Little Pony: The Movie"","
The Florida Project,"""The Florida Project"","
Brawl in Cell Block 99,"""Brawl in Cell Block 99"","
Happy Death Day,"""Happy Death Day"","
Marshall,"""Marshall"","
Breathe,"""Breathe"","
Goodbye Christopher Robin,"""Goodbye Christopher Robin"","
Professor Marston and the Wonder Women,"""Professor Marston and the Wonder Women"","
Blood Money,"""Blood Money"","
Geostorm,"""Geostorm"","
Only the Brave,"""Only the Brave"","
Boo 2! A Madea Halloween,"""Boo 2! A Madea Halloween"","
Same Kind of Different as Me,"""Same Kind of Different as Me"","
Leatherface,"""Leatherface"","
Wonderstruck,"""Wonderstruck"","
The Killing of a Sacred Deer,"""The Killing of a Sacred Deer"","
Thank You for Your Service,"""Thank You for Your Service"","
Suburbicon,"""Suburbicon"","
Jigsaw,"""Jigsaw"","
Novitiate,"""Novitiate"","
All I See Is You,"""All I See Is You"","
Amityville: The Awakening,"""Amityville: The Awakening"","
Thor: Ragnarok,"""Thor: Ragnarok"","
A Bad Moms Christmas,"""A Bad Moms Christmas"","
Last Flag Flying,"""Last Flag Flying"","
Lady Bird,"""Lady Bird"","
Murder on the Orient Express,"""Murder on the Orient Express"","
Daddy's Home 2,"""Daddy's Home 2"","
LBJ,"""LBJ"","
"Three Billboards Outside Ebbing, Missouri","""Three Billboards Outside Ebbing, Missouri"","
Mayhem,"""Mayhem"","
Justice League,"""Justice League"","
The Star,"""The Star"","
Wonder,"""Wonder"","
Cook Off!,"""Cook Off!"","
Mr. Roosevelt,"""Mr. Roosevelt"","
"Roman J. Israel, Esq.","""Roman J. Israel, Esq."","
Coco,"""Coco"","
Darkest Hour,"""Darkest Hour"","
The Man Who Invented Christmas,"""The Man Who Invented Christmas"","
Call Me by Your Name,"""Call Me by Your Name"","
The Disaster Artist,"""The Disaster Artist"","
The Shape of Water,"""The Shape of Water"","
Wonder Wheel,"""Wonder Wheel"","
"I, Tonya","""I, Tonya"","
Just Getting Started,"""Just Getting Started"","
Star Wars: The Last Jedi,"""Star Wars: The Last Jedi"","
Ferdinand,"""Ferdinand"","
Beyond Skyline,"""Beyond Skyline"","
Jumanji: Welcome to the Jungle,"""Jumanji: Welcome to the Jungle"","
The Greatest Showman,"""The Greatest Showman"","
Pitch Perfect 3,"""Pitch Perfect 3"","
Downsizing,"""Downsizing"","
Father Figures,"""Father Figures"","
The Post,"""The Post"","
Bright,"""Bright"","
Crooked House,"""Crooked House"","
Hostiles,"""Hostiles"","
All the Money in the World,"""All the Money in the World"","
Molly's Game,"""Molly's Game"","
Phantom Thread,"""Phantom Thread"","
